Model,Train MSE,Test MSE,CV MSE,Train R²,Test R²,Train MAE,Test MAE,CV Std
linear_regression,33.84710097028077,38.20089907788274,34.71026615225659,0.09145367288863049,0.08054051741605195,4.642068325611227,4.927066931551126,0.6690725644835274
random_forest,19.372454714893543,38.347613148511776,35.28137979988472,0.47999172532376977,0.07700924860498726,3.553975299468337,4.939732172273148,0.5182748070599953
svr,33.45983600175503,38.49422876651388,34.9736223665426,0.10184889595609203,0.07348034945546467,4.56769210877748,4.97949520357661,0.7703009429285688
